***********前后二字交换：***********
一丘一壑, 一壑一丘
弃本逐末, 逐末弃本
弄神弄鬼, 弄鬼弄神
弄管调弦, 调弦弄管
弄柳拈花, 拈花弄柳
弄法舞文, 舞文弄法
弄斧班门, 班门弄斧
弄粉调朱, 调朱弄粉
弊绝风清, 风清弊绝
舞弊营私, 营私舞弊
概念模式, 模式概念
楚弓楚得, 楚得楚弓
烹狗藏弓, 藏弓烹狗
引足救经, 救经引足
株连蔓引, 蔓引株连
引线穿针, 穿针引线
引领翘首, 翘首引领
张敞画眉, 画眉张敞
熟魏生张, 生张熟魏
张牙舞爪, 舞爪张牙
改弦易辙, 易辙改弦
弯弯曲曲, 曲曲弯弯
抹角转弯, 转弯抹角
扶弱抑强, 抑强扶弱
扶弱锄强, 锄强扶弱
弱肉强食, 强食弱肉
弹雨枪林, 枪林弹雨
老调重弹, 重弹老调
强记洽闻, 洽闻强记
归马放牛, 放牛归马
归真返璞, 返璞归真
当路豺狼, 豺狼当路
当车螳臂, 螳臂当车
录用考试, 考试录用
录音电话, 电话录音
视频记录, 记录视频
无形无影, 无影无形
形销骨立, 骨立形销
悬灯结彩, 结彩悬灯
错彩镂金, 镂金错彩
彬彬文质, 文质彬彬
彬彬济济, 济济彬彬
无愧衾影, 衾影无愧
摄影艺术, 艺术摄影
无影无踪, 无踪无影
暗香疏影, 疏影暗香
衣香鬓影, 鬓影衣香
蹑影追风, 追风蹑影
彼竭我盈, 我盈彼竭
往往来来, 来来往往
报往跋来, 跋来报往
独往独来, 独来独往
迎来送往, 送往迎来
惯战能征, 能征惯战
徇私枉法, 枉法徇私
徘徊观望, 观望徘徊
徘徊歧路, 歧路徘徊
玉律金科, 金科玉律
得意忘象, 忘象得意
得意扬扬, 扬扬得意
得意洋洋, 洋洋得意
得意自鸣, 自鸣得意
得意鼠鼠, 鼠鼠得意
得水蛟龙, 蛟龙得水
徙薪曲突, 曲突徙薪
薄赋轻徭, 轻徭薄赋
杜渐防微, 防微杜渐
知微知章, 知章知微
微风细雨, 细雨微风
德薄才疏, 才疏德薄
心心念念, 念念心心
心忙意急, 意急心忙
忠心耿耿, 耿耿忠心
明心见性, 见性明心
心虚胆怯, 胆怯心虚
怵目惊心, 惊心怵目
悦目赏心, 赏心悦目
惊心眩目, 眩目惊心
惊心骇目, 骇目惊心
心惊肉跳, 肉跳心惊
心灰意懒, 意懒心灰
心猿意马, 意马心猿
心慕手追, 手追心慕
心摇胆战, 胆战心摇
心折首肯, 首肯心折
披心沥血, 沥血披心
挂肚牵心, 牵心挂肚
心知肚明, 肚明心知
昧心蒙面, 蒙面昧心
椎心泣血, 泣血椎心
此心耿耿, 耿耿此心
洗心革面, 革面洗心
狗肺狼心, 狼心狗肺
狗行狼心, 狼心狗行
疾首痛心, 痛心疾首
心膂股肱, 股肱心膂
铁胆铜心, 铜心铁胆
心谤腹非, 腹非心谤
铭心镂骨, 镂骨铭心
必恭必敬, 必敬必恭
忐忐忑忑, 忑忑忐忐
满志踌躇, 踌躇满志
忠言逆耳, 逆耳忠言
无忧无虑, 无虑无忧
淋漓痛快, 痛快淋漓
殊深轸念, 轸念殊深
欢忻鼓舞, 鼓舞欢忻
忽忽悠悠, 悠悠忽忽
怀珠抱玉, 抱玉怀珠
怀真抱素, 抱素怀真
怀铅握椠, 握椠怀铅
怀瑾握瑜, 握瑜怀瑾
怀铅握素, 握素怀铅
游目骋怀, 骋怀游目
老态龙钟, 龙钟老态
民怨神怒, 神怒民怨
怒目戟指, 戟指怒目
怒目横眉, 横眉怒目
怒猊渴骥, 渴骥怒猊
怕死贪生, 贪生怕死
怜贫恤老, 恤老怜贫
怜贫惜老, 惜老怜贫
怜贫敬老, 敬老怜贫
思想解放, 解放思想
思想政治, 政治思想
暮想朝思, 朝思暮想
无思无虑, 无虑无思
深思远虑, 远虑深思
急急慌慌, 慌慌急急
急管繁絃, 繁絃急管
缓急轻重, 轻重缓急
杨花水性, 水性杨花
怨李恩牛, 恩牛怨李
无怨无悔, 无悔无怨
猿惊鹤怨, 鹤怨猿惊
怪雨盲风, 盲风怪雨
总总林林, 林林总总
恋酒贪花, 贪花恋酒
惝恍迷离, 迷离惝恍
诚恐诚惶, 诚惶诚恐
恒舞酣歌, 酣歌恒舞
此恨绵绵, 绵绵此恨
日暖风恬, 风恬日暖
浪静风恬, 风恬浪静
悱恻缠緜, 缠緜悱恻
悱恻缠绵, 缠绵悱恻
悠悠荡荡, 荡荡悠悠
悬门抉目, 抉目悬门
明镜高悬, 高悬明镜
悬车束马, 束马悬车
悬疣附赘, 附赘悬疣
悬鹑百结, 百结悬鹑
秦镜高悬, 高悬秦镜
悲歌慷慨, 慷慨悲歌
画意诗情, 诗情画意
情钟意笃, 意笃情钟
情钟我辈, 我辈情钟
生情见景, 见景生情
情长纸短, 纸短情长
惊涛骇浪, 骇浪惊涛
惨淡经营, 经营惨淡
惨澹经营, 经营惨澹
满面羞惭, 羞惭满面
惹草招风, 招风惹草
惹草沾花, 沾花惹草
惹草沾风, 沾风惹草
惹草粘花, 粘花惹草
愁眉泪眼, 泪眼愁眉
愁肠百结, 百结愁肠
矜愚饰智, 饰智矜愚
愚眉肉眼, 肉眼愚眉
满面羞愧, 羞愧满面
肠慌腹热, 腹热肠慌
慎终追远, 追远慎终
慷慨激昂, 激昂慷慨
憋气窝火, 窝火憋气
枕戈泣血, 泣血枕戈
金戈铁甲, 铁甲金戈
金戈铁马, 铁马金戈
戏蝶游蜂, 游蜂戏蝶
成蹊桃李, 桃李成蹊
练达老成, 老成练达
成群逐队, 逐队成群
戛玉敲金, 敲金戛玉
戛玉铿金, 铿金戛玉
截铁斩钉, 斩钉截铁
戴月披星, 披星戴月
戴角披毛, 披毛戴角
柳户花门, 花门柳户
房谋杜断, 杜断房谋
洞房花烛, 花烛洞房
扇枕温衾, 温衾扇枕
歌扇舞衫, 舞衫歌扇
跋扈飞扬, 飞扬跋扈
贵手高抬, 高抬贵手
手机拍照, 拍照手机
白手空拳, 空拳白手
空拳赤手, 赤手空拳
手挥目送, 目送手挥
捏手捏脚, 捏脚捏手
捻手捻脚, 捻脚捻手
搓手顿足, 顿足搓手
旁观袖手, 袖手旁观
蹑手蹑脚, 蹑脚蹑手
轻手轻脚, 轻脚轻手
手舞足蹈, 足蹈手舞
稳扎稳打, 稳打稳扎
扑朔迷离, 迷离扑朔
拳打脚踢, 脚踢拳打
打诨插科, 插科打诨
打滚撒泼, 撒泼打滚
明打明敲, 明敲明打
打铁趁热, 趁热打铁
渲染烘托, 烘托渲染
托钵沿门, 沿门托钵
扣槃扪龠, 扪龠扣槃
抑扬顿挫, 顿挫抑扬
虎视鹰扬, 鹰扬虎视
饥附饱扬, 饱扬饥附
扭扭捏捏, 捏捏扭扭
扰扰攘攘, 攘攘扰扰
扰扰胶胶, 胶胶扰扰
技术转让, 转让技术
把素持斋, 持斋把素
把酒持螯, 持螯把酒
投桃报李, 报李投桃
投资风险, 风险投资
投辖陈遵, 陈遵投辖
抖擞精神, 精神抖擞
抵抗沉默, 沉默抵抗
折柳攀花, 攀花折柳
折桂攀蟾, 攀蟾折桂
斗折蛇行, 蛇行斗折
折足覆餗, 覆餗折足
火焰防护, 防护火焰
披袍擐甲, 擐甲披袍
披肝沥血, 沥血披肝
推襟送抱, 送抱推襟
抱蔓摘瓜, 摘瓜抱蔓
抹泪揉眵, 揉眵抹泪
抹角转湾, 转湾抹角
担酒牵羊, 牵羊担酒
拍马溜须, 溜须拍马
拒谏饰非, 饰非拒谏
拔类超群, 超群拔类
无拘无束, 无束无拘
招权纳贿, 纳贿招权
招生院校, 院校招生
拜鬼求神, 求神拜鬼
模拟系统, 系统模拟
模拟考试, 考试模拟
捋袖揎拳, 揎拳捋袖
捰袖揎拳, 揎拳捰袖
掳袖揎拳, 揎拳掳袖
揎拳攞袖, 攞袖揎拳
揎拳裸袖, 裸袖揎拳
拾遗补阙, 补阙拾遗
拿粗挟细, 挟细拿粗
虎掷龙拿, 龙拿虎掷
虎跳龙拿, 龙拿虎跳
挂肚牵肠, 牵肠挂肚
挂角羚羊, 羚羊挂角
挠腮撧耳, 撧耳挠腮
振领提纲, 提纲振领
活捉生擒, 生擒活捉
星移物换, 物换星移
换柳移花, 移花换柳
捧毂推轮, 推轮捧毂
捭阖纵横, 纵横捭阖
数据测试, 测试数据
数据统计, 统计数据
捶胸跌脚, 跌脚捶胸
捶胸顿脚, 顿脚捶胸
捶胸顿足, 顿足捶胸
排难解纷, 解纷排难
探汤蹈火, 蹈火探汤
星驰电掣, 电掣星驰
肩摩袂接, 袂接肩摩
接贵攀高, 攀高接贵
接踵比肩, 比肩接踵
推本穷源, 穷源推本
推梨让枣, 让枣推梨
推食解衣, 解衣推食
掩耳盗钟, 盗钟掩耳
掩耳盗铃, 盗铃掩耳
揉腮撧耳, 撧耳揉腮
提要钩玄, 钩玄提要
揽辔登车, 登车揽辔
搓酥滴粉, 滴粉搓酥
搭桥牵线, 牵线搭桥
目眩神摇, 神摇目眩
播放歌曲, 歌曲播放
撼树蚍蜉, 蚍蜉撼树
擂鼓筛锣, 筛锣擂鼓
操觚染翰, 染翰操觚
攀鳞附翼, 附翼攀鳞
攒眉蹙额, 蹙额攒眉
蚁聚蜂攒, 蜂攒蚁聚
蚁集蜂攒, 蜂攒蚁集
攘攘熙熙, 熙熙攘攘
支离破碎, 破碎支离
改步改玉, 改玉改步
改过自新, 自新改过
迎新送故, 送故迎新
革故鼎新, 鼎新革故
暴敛横赋, 横赋暴敛
雨散风流, 风流雨散
鱼溃鸟散, 鸟散鱼溃
魂飘魄散, 魄散魂飘
魂飞魄散, 魄散魂飞
数白论黄, 论黄数白
数黑论黄, 论黄数黑
整整齐齐, 齐齐整整
末节繁文, 繁文末节
文过遂非, 遂非文过
文过饰非, 饰非文过
萋斐贝锦, 贝锦萋斐
斑驳陆离, 陆离斑驳
斗转星移, 星移斗转
斗鸡走马, 走马斗鸡
斗量车载, 车载斗量
斜风细雨, 细雨斜风
走斝飞觞, 飞觞走斝
走斝飞觥, 飞觥走斝
断梗浮萍, 浮萍断梗
断梗飘萍, 飘萍断梗
断梗飘蓬, 飘蓬断梗
断简残篇, 残篇断简
鱼沉鸿断, 鸿断鱼沉
独断独行, 独行独断
目断魂销, 魂销目断
断简遗编, 遗编断简
系统诊断, 诊断系统
新酒旧瓶, 旧瓶新酒
迎新送旧, 送旧迎新
方案设计, 设计方案
方正贤良, 贤良方正
神施鬼设, 鬼设神施
紫盖黄旗, 黄旗紫盖
无边风月, 风月无边
若无若有, 若有若无
无边苦海, 苦海无边
无瑕白玉, 白玉无瑕
日疏日远, 日远日疏
日晒雨淋, 雨淋日晒
日暮道远, 道远日暮
日月蹉跎, 蹉跎日月
追风逐日, 逐日追风
旧梦重温, 重温旧梦
旧物青毡, 青毡旧物
旧雨重逢, 重逢旧雨
时来运转, 运转时来
昌歜羊枣, 羊枣昌歜
明枪暗箭, 暗箭明枪
柳暗花明, 花明柳暗
明珠薏苡, 薏苡明珠
明眸皓齿, 皓齿明眸
绝顶聪明, 聪明绝顶
星桥火树, 火树星桥
星眸皓齿, 皓齿星眸
春花秋月, 秋月春花
有脚阳春, 阳春有脚
春风沂水, 沂水春风
春风满面, 满面春风
白雪阳春, 阳春白雪
春秋鼎盛, 鼎盛春秋
闲是闲非, 闲非闲是
显示歌词, 歌词显示
晋用楚材, 楚材晋用
河清海晏, 海晏河清
晓风残月, 残月晓风
晚节黄花, 黄花晚节
晨钟暮鼓, 暮鼓晨钟
暮景桑榆, 桑榆暮景
美景良辰, 良辰美景
蹑景追风, 追风蹑景
焚膏继晷, 继晷焚膏
暖衣饱食, 饱食暖衣
暮暮朝朝, 朝朝暮暮
暮楚朝秦, 朝秦暮楚
暮鼓朝钟, 朝钟暮鼓
曲水流觞, 流觞曲水
淫词艳曲, 艳曲淫词
聱牙诘曲, 诘曲聱牙
曼衍鱼龙, 鱼龙曼衍
月缺花残, 花残月缺
水月镜花, 镜花水月
月白风清, 风清月白
雪月风花, 风花雪月
朗目疏眉, 疏眉朗目
望梅止渴, 止渴望梅
燕约莺期, 莺期燕约
木本水源, 水源木本
槁木死灰, 死灰槁木
求鱼缘木, 缘木求鱼
未雨绸缪, 绸缪未雨
末梢神经, 神经末梢
本本源源, 源源本本
正本清源, 清源正本
正本澄源, 澄源正本
艺术设计, 设计艺术
朱朱白白, 白白朱朱
朱甍碧瓦, 碧瓦朱甍
朱脣皓齿, 皓齿朱脣
朱颜绿鬓, 绿鬓朱颜
返朴还淳, 还淳返朴
粟红贯朽, 贯朽粟红
粟陈贯朽, 贯朽粟陈
杀马毁车, 毁车杀马
权限访问, 访问权限
沈李浮瓜, 浮瓜沈李
沉李浮瓜, 浮瓜沉李
竹杖芒鞋, 芒鞋竹杖
杜渐防萌, 防萌杜渐
束矢钧金, 钧金束矢
横祸飞来, 飞来横祸
百步穿杨, 穿杨百步
穿杨贯虱, 贯虱穿杨
杯水车薪, 车薪杯水
英雄豪杰, 豪杰英雄
松茂竹苞, 竹苞松茂
铁板铜琶, 铜琶铁板
肉林酒池, 酒池肉林
玉树琼枝, 琼枝玉树
枝节横生, 横生枝节
比翼连枝, 连枝比翼
桑枢瓮牖, 瓮牖桑枢
瓮牖绳枢, 绳枢瓮牖
灾梨祸枣, 祸枣灾梨
海枯石烂, 石烂海枯
枯鱼涸辙, 涸辙枯鱼
枯骨生肉, 生肉枯骨
残花败柳, 败柳残花
柳绿花红, 花红柳绿
柳陌花街, 花街柳陌
柳陌花衢, 花衢柳陌
键盘鼠标, 鼠标键盘
目标系统, 系统目标
栉比鳞次, 鳞次栉比
火树银花, 银花火树
格物致知, 致知格物
桂薪玉粒, 玉粒桂薪
桃花流水, 流水桃花
萤窗雪案, 雪案萤窗
桑田沧海, 沧海桑田
纨袴膏梁, 膏梁纨袴
梗迹萍踪, 萍踪梗迹
眉梢眼角, 眼角眉梢
滑稽突梯, 突梯滑稽
荡检逾闲, 逾闲荡检
荆棘铜驼, 铜驼荆棘
植物纤维, 纤维植物
椎胸顿足, 顿足椎胸
茅椽蓬牖, 蓬牖茅椽
楚馆秦楼, 秦楼楚馆
歌楼舞榭, 舞榭歌楼
秦楼谢馆, 谢馆秦楼
榆瞑豆重, 豆重榆瞑
满目荆榛, 荆榛满目
槛猿笼鸟, 笼鸟槛猿
雨横风狂, 风狂雨横
横行霸道, 霸道横行
阵马风樯, 风樯阵马
橘绿橙黄, 橙黄橘绿
欢欣鼓舞, 鼓舞欢欣
欧风美雨, 美雨欧风
款款轻轻, 轻轻款款
狂歌痛饮, 痛饮狂歌
莺歌蝶舞, 蝶舞莺歌
止渴饮鸩, 饮鸩止渴
正色直言, 直言正色
步步莲花, 莲花步步
步线行针, 行针步线
虎步龙行, 龙行虎步
畏死贪生, 贪生畏死
玉殒香消, 香消玉殒
比物连类, 连类比物
毕雨箕风, 箕风毕雨
茹毛饮血, 饮血茹毛
民脂民膏, 民膏民脂
民熙物阜, 物阜民熙
水深火热, 火热水深
点水蜻蜓, 蜻蜓点水
盈盈秋水, 秋水盈盈
求田问舍, 问舍求田
江淮河汉, 河汉江淮
江翻海沸, 海沸江翻
池鱼笼鸟, 笼鸟池鱼
汲汲波波, 波波汲汲
汲汲皇皇, 皇皇汲汲
汹涌澎湃, 澎湃汹涌
沃雪注萤, 注萤沃雪
沈腰潘鬓, 潘鬓沈腰
沈舟破釜, 破釜沈舟
沉沉稳稳, 稳稳沉沉
玉碎珠沉, 珠沉玉碎
沉舟破釜, 破釜沉舟
沌沌浑浑, 浑浑沌沌
走石飞沙, 飞沙走石
流离颠沛, 颠沛流离
没皮没脸, 没脸没皮
沥沥淅淅, 淅淅沥沥
沥胆隳肝, 隳肝沥胆
渡河香象, 香象渡河
饮河鼹鼠, 鼹鼠饮河
治疗痛风, 痛风治疗
泉石膏肓, 膏肓泉石
范畴语法, 语法范畴
波波碌碌, 碌碌波波
逐浪随波, 随波逐浪
玉液金波, 金波玉液
泣血稽颡, 稽颡泣血
洋洋洒洒, 洒洒洋洋
洒洒潇潇, 潇潇洒洒
潇洒风流, 风流潇洒
洛阳纸贵, 纸贵洛阳
活色生香, 生香活色
蕴藉风流, 风流蕴藉
酝藉风流, 风流酝藉
流言蜚语, 蜚语流言
玉液琼浆, 琼浆玉液
玉液金浆, 金浆玉液
行浊言清, 言清行浊
莫测高深, 高深莫测
测试覆盖, 覆盖测试
测试运行, 运行测试
济济跄跄, 跄跄济济
济济锵锵, 锵锵济济
浏览网页, 网页浏览
浪蕊浮花, 浮花浪蕊
浪蘂浮花, 浮花浪蘂
浪蝶游蜂, 游蜂浪蝶
浪蝶狂蜂, 狂蜂浪蝶
浪酒闲茶, 闲茶浪酒
浪迹萍踪, 萍踪浪迹
苦海茫茫, 茫茫苦海
涂炭生灵, 生灵涂炭
火灭烟消, 烟消火灭
玉碎香消, 香消玉碎
跋涉长途, 长途跋涉
涎皮涎脸, 涎脸涎皮
淋漓酣畅, 酣畅淋漓
淡饭粗茶, 粗茶淡饭
淡饭黄齑, 黄齑淡饭
诲淫诲盗, 诲盗诲淫
独清独醒, 独醒独清
目秀眉清, 眉清目秀
清风高节, 高节清风
节约资源, 资源节约
滔滔滚滚, 滚滚滔滔
满腹牢骚, 牢骚满腹
满腹珠玑, 珠玑满腹
满目琳琅, 琳琅满目
满目疮痍, 疮痍满目
满腹经纶, 经纶满腹
潜移默转, 默转潜移
潜踪隐迹, 隐迹潜踪
虎穴龙潭, 龙潭虎穴
虎窟龙潭, 龙潭虎窟
濯缨濯足, 濯足濯缨
灌顶醍醐, 醍醐灌顶
烈火真金, 真金烈火
狐鸣篝火, 篝火狐鸣
灼见真知, 真知灼见
逃灾避难, 避难逃灾
炊金馔玉, 馔玉炊金
炎炎赫赫, 赫赫炎炎
炙鸡絮酒, 絮酒炙鸡
神焦鬼烂, 鬼烂神焦
烈烈轰轰, 轰轰烈烈
烟霞痼疾, 痼疾烟霞
瘴雨蛮烟, 蛮烟瘴雨
烟簑雨笠, 雨笠烟簑
荒烟蔓草, 蔓草荒烟
烧琴煮鹤, 煮鹤烧琴
热热闹闹, 闹闹热热
眼花耳热, 耳热眼花
眼跳耳热, 耳热眼跳
耳热酒酣, 酒酣耳热
焚琴煮鹤, 煮鹤焚琴
焚舟破釜, 破釜焚舟
足音跫然, 跫然足音
辉煌金碧, 金碧辉煌
煖衣饱食, 饱食煖衣
电照风行, 风行电照
煮豆燃萁, 燃萁煮豆
非熊非罴, 非罴非熊
熊腰虎背, 虎背熊腰
熟路轻车, 轻车熟路
燕燕莺莺, 莺莺燕燕
燕瘦环肥, 环肥燕瘦
燕颔虎颈, 虎颈燕颔
钩爪锯牙, 锯牙钩爪
片石韩陵, 韩陵片石
累牍连篇, 连篇累牍
犬牙盘石, 盘石犬牙
牛鬼蛇神, 蛇神牛鬼
牝牡骊黄, 骊黄牝牡
补牢顾犬, 顾犬补牢
特立独行, 独行特立
瓦鸡陶犬, 陶犬瓦鸡
犯罪预防, 预防犯罪
犹豫狐疑, 狐疑犹豫
阿狗阿猫, 阿猫阿狗
白衣苍狗, 苍狗白衣
狗盗鸡鸣, 鸡鸣狗盗
狗苟蝇营, 蝇营狗苟
狰狞面目, 面目狰狞
狰狞面貌, 面貌狰狞
独行踽踽, 踽踽独行
狭路相逢, 相逢狭路
狼虫虎豹, 虎豹狼虫
虎豹豺狼, 豺狼虎豹
种玉蓝田, 蓝田种玉
玉质金相, 金相玉质
玉砌雕阑, 雕阑玉砌
玉食锦衣, 锦衣玉食
结草衔环, 衔环结草
琳琅触目, 触目琳琅
知识管理, 管理知识
管理系统, 系统管理
琪花瑶草, 瑶草琪花
瓜瓞绵绵, 绵绵瓜瓞
虚舟飘瓦, 飘瓦虚舟
瓦釜雷鸣, 雷鸣瓦釜
瓮里醯鸡, 醯鸡瓮里
素绠银瓶, 银瓶素绠
甘脆肥醲, 肥醲甘脆
甘雨随车, 随车甘雨
甜言美语, 美语甜言
甜言蜜语, 蜜语甜言
电话订购, 订购电话
电阻负载, 负载电阻
电闪雷鸣, 雷鸣电闪
铁画银钩, 银钩铁画
畔道离经, 离经畔道
虎略龙韬, 龙韬虎略
畸轻畸重, 畸重畸轻
疑神疑鬼, 疑鬼疑神
痛饮黄龙, 黄龙痛饮
红瘦绿肥, 绿肥红瘦
白驹空谷, 空谷白驹
白马素车, 素车白马
白驹过隙, 过隙白驹
百结鹑衣, 鹑衣百结
百身莫赎, 莫赎百身
皓齿蛾眉, 蛾眉皓齿
皓首苍颜, 苍颜皓首
赖骨顽皮, 顽皮赖骨
监视系统, 系统监视
盘空硬语, 硬语盘空
目睹耳闻, 耳闻目睹
瞠目结舌, 结舌瞠目
科目考试, 考试科目
耳目股肱, 股肱耳目
目见耳闻, 耳闻目见
目食耳视, 耳视目食
贱目贵耳, 贵耳贱目
长目飞耳, 飞耳长目
立盹行眠, 行眠立盹
省衣节食, 节食省衣
眈眈虎视, 虎视眈眈
眈眈逐逐, 逐逐眈眈
眉飞眼笑, 眼笑眉飞
苫眼铺眉, 铺眉苫眼
蛾眉螓首, 螓首蛾眉
眼瞎耳聋, 耳聋眼瞎
远瞩高瞻, 高瞻远瞩
虎视鹰瞵, 鹰瞵虎视
较短量长, 量长较短
走石飞砂, 飞砂走石
研究课题, 课题研究
踏破铁鞋, 铁鞋踏破
碎首糜躯, 糜躯碎首
碧鸡金马, 金马碧鸡
磕磕绊绊, 绊绊磕磕
祸首罪魁, 罪魁祸首
麦秀黍离, 黍离麦秀
鱼网鸿离, 鸿离鱼网
秋风过耳, 过耳秋风
称臣纳贡, 纳贡称臣
程门立雪, 立雪程门
空谷足音, 足音空谷
网站设计, 设计网站
紫绶金章, 金章紫绶
胁肩谄笑, 谄笑胁肩
等身著述, 著述等身
筚路褴褛, 褴褛筚路
鹤算龟龄, 龟龄鹤算
超群轶类, 轶类超群
粗衣粝食, 粝食粗衣
纨绔膏粱, 膏粱纨绔
纨袴膏粱, 膏粱纨袴
纨裦膏粱, 膏粱纨裦
系统验证, 验证系统
系铃解铃, 解铃系铃
腰金衣紫, 衣紫腰金
红颜绿鬓, 绿鬓红颜
鲁缟齐纨, 齐纨鲁缟
纷纷议论, 议论纷纷
谙练通达, 通达谙练
经邦论道, 论道经邦
绣虎雕龙, 雕龙绣虎
绣阁香闺, 香闺绣阁
网页设计, 设计网页
赏罚黜陟, 黜陟赏罚
羊肠鸟道, 鸟道羊肠
蓴羹鲈脍, 鲈脍蓴羹
老鼠过街, 过街老鼠
老马识途, 识途老马
耽耽虎视, 虎视耽耽
铭肌镂骨, 镂骨铭肌
鸡肠鼠肚, 鼠肚鸡肠
虫臂鼠肝, 鼠肝虫臂
鸡肠鼠腹, 鼠腹鸡肠
花貌雪肤, 雪肤花貌
胆裂魂飞, 魂飞胆裂
腥风血雨, 血雨腥风
蜂腰鹤膝, 鹤膝蜂腰
虎跃龙腾, 龙腾虎跃
腾达飞黄, 飞黄腾达
覆舟载舟, 载舟覆舟
艰难险阻, 险阻艰难
野草闲花, 闲花野草
花香鸟语, 鸟语花香
草长莺飞, 莺飞草长
草靡风行, 风行草靡
魂飞魄荡, 魄荡魂飞
萋菲贝锦, 贝锦萋菲
葱葱郁郁, 郁郁葱葱
饥鹰饿虎, 饿虎饥鹰
蚁附蝇趋, 蝇趋蚁附
蚁附蝇集, 蝇集蚁附
雁行鱼贯, 鱼贯雁行
袒裼裸裎, 裸裎袒裼
覆辙重蹈, 重蹈覆辙
设计铺谋, 铺谋设计
诡计阴谋, 阴谋诡计
阔论高谈, 高谈阔论
雄辩高谈, 高谈雄辩
远走高飞, 高飞远走
趄趄趔趔, 趔趔趄趄
鱼跃鸢飞, 鸢飞鱼跃
驷马高车, 高车驷马
载驰载驱, 载驱载驰
难逢难遇, 难遇难逢
铁骨铮铮, 铮铮铁骨
雨鬓风鬟, 风鬟雨鬓
雪鬓霜鬟, 霜鬟雪鬓
雾鬓风鬟, 风鬟雾鬓
***********一三不变，二四交换：***********
一勇之夫, 一夫之勇
一体同心, 一心同体
同德一心, 同心一德
一夫多妻, 一妻多夫
七倒八歪, 七歪八倒
七嘴八张, 七张八嘴
七嘴八舌, 七舌八嘴
七孔八洞, 七洞八孔
七弯八拐, 七拐八弯
七手八脚, 七脚八手
七横八纵, 七纵八横
千态万状, 千状万态
三头两日, 三日两头
三步两脚, 三脚两步
从上到下, 从下到上
附上罔下, 附下罔上
自上而下, 自下而上
每下愈况, 每况愈下
为仁不富, 为富不仁
超世绝俗, 超俗绝世
救世济民, 救民济世
东奔西跑, 东跑西奔
东寻西觅, 东觅西寻
东征西讨, 东讨西征
东徙西迁, 东迁西徙
东怒西怨, 东怨西怒
东扯西拉, 东拉西扯
拆东补西, 拆西补东
东掩西遮, 东遮西掩
朝东暮西, 朝西暮东
东望西观, 东观西望
东游西荡, 东荡西游
东藏西躲, 东躲西藏
东驰西骛, 东骛西驰
两耳塞豆, 两豆塞耳
为人择官, 为官择人
以守为攻, 以攻为守
以实为虚, 以虚为实
以白为黑, 以黑为白
以进为退, 以退为进
倒因为果, 倒果为因
量入为出, 量出为入
化整为零, 化零为整
举枉措直, 举直措枉
举轻若重, 举重若轻
高举远蹈, 高蹈远举
日久岁长, 日长岁久
年久月深, 年深月久
背义负信, 背信负义
喜见乐闻, 喜闻乐见
十死九生, 十生九死
蹈常习故, 蹈故习常
鱼书雁信, 鱼信雁书
以乱易暴, 以暴易乱
狂咬乱抓, 狂抓乱咬
你争我夺, 你夺我争
龙争虎战, 龙战虎争
争短论长, 争长论短
事倍功半, 事半功倍
借事生端, 借端生事
雨踪云迹, 雨迹云踪
牵五挂四, 牵四挂五
人单势孤, 人孤势单
瘠人肥己, 瘠己肥人
国仇家恨, 国恨家仇
超今冠古, 超古冠今
熔今铸古, 熔古铸今
谈今论古, 谈古论今
说今道古, 说古道今
镕今铸古, 镕古铸今
閒今铸古, 閒古铸今
言从计听, 言听计从
言从计行, 言行计从
以劳击逸, 以逸击劳
以卵投石, 以石投卵
以弱胜强, 以强胜弱
以水投石, 以石投水
以铢称镒, 以镒称铢
任性恣情, 任情恣性
翘足企首, 翘首企足
此伏彼起, 此起彼伏
生众食寡, 生寡食众
口传心授, 口授心传
言传身教, 言教身传
似是而非, 似非而是
俾夜作昼, 俾昼作夜
唱沙作米, 唱米作沙
扭曲作直, 扭直作曲
穷侈极奢, 穷奢极侈
匡俗济时, 匡时济俗
日修夜短, 日短夜修
偃兵息甲, 偃甲息兵
偷狗戏鸡, 偷鸡戏狗
傍柳随花, 傍花随柳
傲雪凌霜, 傲霜凌雪
先号后笑, 先笑后号
量入制出, 量出制入
四方八面, 四面八方
名公巨卿, 名卿巨公
名公钜卿, 名卿钜公
桂宫兰殿, 桂殿兰宫
按兵束甲, 按甲束兵
解兵释甲, 解甲释兵
挹兹注彼, 挹彼注兹
怡性养神, 怡神养性
兼包并容, 兼容并包
外圆内方, 外方内圆
喊冤叫屈, 喊屈叫冤
挨冻受饿, 挨饿受冻
堆几积案, 堆案积几
凤管鸾箫, 凤箫鸾管
层出迭见, 层见迭出
循分守理, 循理守分
创巨痛深, 创深痛巨
别居异财, 别财异居
日削月朘, 日朘月削
日削月杒, 日杒月削
计尽力穷, 计穷力尽
连劝带哄, 连哄带劝
抬手动脚, 抬脚动手
神动色飞, 神飞色动
劳形苦神, 劳神苦形
形格势禁, 形禁势格
百计千谋, 百谋千计
含华咀英, 含英咀华
卖官鬻狱, 卖狱鬻官
博见多闻, 博闻多见
去逆效顺, 去顺效逆
春去秋来, 春来秋去
应图受箓, 应箓受图
膺图受箓, 膺箓受图
牙清口白, 牙白口清
句栉字比, 句比字栉
稀句绘章, 稀章绘句
左挈右提, 左提右挈
貌合神离, 貌离神合
