********************************
1. MODE
********************************
mode	cnum	inum
亮……风	2	亮布披风,亮节高风
扁……生	2	扁毛畜生,扁鹊复生
舞……墨	2	舞弄文墨,舞文弄墨
桀……恣	2	桀逆放恣,桀黠擅恣
罚……罪	2	罚不当罪,罚当其罪
怪……奇	2	怪怪奇奇,怪诞诡奇
计……术	2	计然之术,计算技术
人……息	2	人亡政息,人际消息
沈……鼃	2	沈灶产鼃,沈竈産鼃
呼……尔	2	呼伦贝尔,呼尔蹴尔
动……魄	2	动人心魄,动心惊魄
讲……话	2	讲普通话,讲风凉话
金……华	2	金粉豪华,金色年华
支……梧	2	支支梧梧,支策据梧
贪……宠	2	贪冒荣宠,贪荣冒宠
中……政	2	中国邮政,中央财政
土……命	2	土地革命,土转生命
自……厂	2	自来水厂,自行车厂
神……巧	2	神圣工巧,神工天巧
德……斯	2	德克萨斯,德玛尼斯
韬……影	2	韬光晦影,韬形灭影
有……说	2	有消息说,有话好说
为……人	2	为官择人,为政在人
东……北	2	东南西北,东西南北
创……动	2	创作冲动,创建活动
阿……子	2	阿斗太子,阿月浑子
有……话	2	有什么话,有线电话
大……色	2	大惊失色,大有起色
女……们	2	女孩子们,女明星们
金……台	2	金琖银台,金粟莲台
胼……足	2	胼手胝足,胼胝手足
重……点	2	重点难点,重运行点
有……让	2	有偿转让,有尽有让
沾……足	2	沾体涂足,沾沾自足
图……国	2	图腾三国,图身忘国
动……定	2	动态绑定,动荡不定
逞……能	2	逞异夸能,逞强称能
风……子	2	风尘女子,风标公子
一……面	2	一尺之面,一底一面
巴……什	2	巴尔喀什,巴纳拉什
赤……战	2	赤壁之战,赤色圣战
刻……骨	2	刻肌刻骨,刻镂心骨
痴……子	2	痴儿騃子,痴顽老子
楚……歌	2	楚竹燕歌,楚舞吴歌
比……斯	2	比卢普斯,比提克斯
急……进	2	急流勇进,急躁冒进
金……制	2	金本位制,金融体制
才……涩	2	才枯文涩,才短思涩
疾……心	2	疾控中心,疾首痛心
喷……虫	2	喷涌幼虫,喷液甲虫
人……我	2	人不犯我,人人为我
久……医	2	久病成医,久症行医
政……门	2	政出多门,政府部门
连……头	2	连扯跟头,连枝并头
文……用	2	文件争用,文武并用
眼……赤	2	眼红颈赤,眼腰黄赤
下……声	2	下气怡声,下载铃声
褒……恶	2	褒善贬恶,褒贤遏恶
一……血	2	一腔热血,一针见血
高……才	2	高世之才,高级人才
进……否	2	进可替否,进退可否
抗……剂	2	抗静电剂,抗氧化剂
明……花	2	明日黄花,明月芦花
世……场	2	世界市场,世纪广场
美……局	2	美中情局,美宇航局
适……会	2	适应社会,适逢其会
老……子	2	老八辈子,老身长子
沦……髓	2	沦浃肌髓,沦肌浃髓
踏……靴	2	踏泥草靴,踏雾长靴
水……色	2	水光山色,水天一色
老……学	2	老年医学,老有所学
实……具	2	实木家具,实用工具
一……西	2	一东一西,一命归西
数……象	2	数字对象,数据抽象
冲……锐	2	冲坚毁锐,冲锋陷锐
万……中	2	万绿丛中,万选万中
部……章	2	部落勋章,部门规章
黑……人	2	黑腮猎人,黑铁矮人
遐……壤	2	遐州僻壤,遐方绝壤
六……头	2	六州歌头,六臂三头
歪……道	2	歪谈乱道,歪门邪道
埋……地	2	埋天怨地,埋骨之地
变……术	2	变形法术,变性手术
夙……寐	2	夙兴夜寐,夙夜梦寐
多……车	2	多功能车,多用途车
历……章	2	历乱无章,历史文章
鱼……子	2	鱼皮鞑子,鱼鼓简子
合……式	2	合取范式,合式公式
摧……汴	2	摧心剖汴,摧胸破汴
地……布	2	地歌瀑布,地理分布
名……人	2	名从主人,名教罪人
自……作	2	自受自作,自选动作
商……长	2	商会会长,商务部长
名……事	2	名流轶事,名贤启事
党……人	2	党员个人,党领导人
如……声	2	如响应声,如闻其声
达……玛	2	达斯雷玛,达瓦卓玛
虎……威	2	虎狼之威,虎胆龙威
广……收	2	广种薄收,广采博收
阿……娅	2	阿尔泰娅,阿斯坦娅
实……动	2	实践活动,实际行动
妙……人	2	妙绝时人,妙语惊人
取……难	2	取易守难,取舍两难
百……顺	2	百依百顺,百样依顺
实……力	2	实与有力,实践能力
遗……心	2	遗产之心,遗物识心
一……誉	2	一人毁誉,一时虚誉
美……年	2	美国青年,美意延年
中……称	2	中文名称,中级职称
中……码	2	中奖号码,中间代码
目……瞬	2	目不暂瞬,目语额瞬
远……地	2	远天远地,远征营地
经……家	2	经史百家,经济学家
沐……霜	2	沐雨经霜,沐露沾霜
自……件	2	自杀事件,自由软件
公……线	2	公交路线,公共总线
农……民	2	农夫难民,农村居民
轻……士	2	轻贤慢士,轻车介士
伊……雷	2	伊利达雷,伊森德雷
自……亡	2	自取灭亡,自杀身亡
相……生	2	相面先生,相逐心生
下……子	2	下一钩子,下载种子
虎……子	2	虎生三子,虎穴得子
一……误	2	一误再误,一念之误
地……弹	2	地空导弹,地精炸弹
金……件	2	金属构件,金山软件
欲……止	2	欲吐辄止,欲言又止
在……读	2	在线阅读,在职攻读
德……功	2	德容言功,德言容功
立……人	2	立人达人,立陶宛人
经……学	2	经贸大学,经院哲学
精……肩	2	精灵衬肩,精英护肩
千……言	2	千语万言,千里结言
生……化	2	生命强化,生生化化
一……象	2	一个对象,一蛇吞象
山……水	2	山堂香水,山山水水
出……面	2	出告反面,出头露面
克……蒂	2	克莉丝蒂,克里斯蒂
解……仇	2	解剑拜仇,解狐荐仇
寻……队	2	寻求组队,寻行逐队
一……豆	2	一叶两豆,一灯如豆
海……手	2	海怒护手,海盗杀手
轻……快	2	轻松愉快,轻轻快快
绝……言	2	绝不食言,绝望祷言
深……诋	2	深恶痛诋,深文巧诋
保……值	2	保值增值,保形插值
大……颠	2	大不列颠,大厦将颠
鼠……角	2	鼠入牛角,鼠牙雀角
断……理	2	断事以理,断无此理
耳……闻	2	耳不忍闻,耳食之闻
打……狗	2	打鷄駡狗,打落水狗
高……兴	2	高情逸兴,高高兴兴
海……长	2	海岸线长,海盗船长
卖……舌	2	卖嘴料舌,卖弄口舌
基……疗	2	基因治疗,基本医疗
祸……生	2	祸从口生,祸福相生
若……地	2	若履平地,若无天地
巫……雨	2	巫云楚雨,巫山云雨
灰……骨	2	灰身粉骨,灰躯糜骨
云……人	2	云亭山人,云水散人
奥……克	2	奥特兰克,奥林匹克
鬼……刀	2	鬼眼狂刀,鬼魂镰刀
蹠……尧	2	蹠犬噬尧,蹠狗吠尧
黑……豹	2	黑斑黄豹,黑色战豹
傻……机	2	傻瓜相机,傻里巴机
一……败	2	一见破败,一败再败
尽……意	2	尽如人意,尽心尽意
基……理	2	基本原理,基金管理
鱼……沉	2	鱼杳雁沉,鱼雁沉沉
归……题	2	归属问题,归纳命题
无……者	2	无威望者,无神论者
并……程	2	并发进程,并行工程
中……经	2	中央财经,中枢神经
中……织	2	中介组织,中国纺织
冲……量	2	冲动能量,冲突向量
奸……吏	2	奸官污吏,奸胥猾吏
治……病	2	治愈疾病,治疗肾病
血……风	2	血月披风,血雨腥风
乌……斯	2	乌萨苟斯,乌鲁洛斯
蒲……质	2	蒲姿柳质,蒲柳之质
泽……世	2	泽及万世,泽被后世
源……水	2	源头活水,源生之水
教……验	2	教学经验,教育实验
传……学	2	传媒大学,传统医学
殚……力	2	殚竭其力,殚谋戮力
七……变	2	七七事变,七十二变
千……行	2	千虑一行,千里之行
简……动	2	简单劳动,简谐运动
格……入	2	格不相入,格格不入
抽……骨	2	抽筋拔骨,抽胎换骨
二……将	2	二十八将,二战名将
重……标	2	重心坐标,重要指标
这……字	2	这两个字,这个名字
金……券	2	金书铁券,金融证券
这……子	2	这些日子,这间屋子
出……间	2	出入无间,出版时间
多……识	2	多见广识,多闻博识
新……报	2	新文化报,新华日报
黑……铠	2	黑巢轻铠,黑龙肩铠
解……甲	2	解兵释甲,解衣卸甲
传……宝	2	传家之宝,传经送宝
六……市	2	六盘水市,六街三市
鱼……杳	2	鱼沉雁杳,鱼雁沉杳
蚁……集	2	蚁萃螽集,蚁附蝇集
图……件	2	图像文件,图片附件
热……肠	2	热心快肠,热腹冷肠
多……计	2	多寡不计,多方百计
瞪……舌	2	瞪目结舌,瞪眼咋舌
一……载	2	一年半载,一时千载
口……快	2	口直心快,口舌之快
下……心	2	下定决心,下载中心
街……戏	2	街头影戏,街机游戏
智……索	2	智尽能索,智能检索
热……腾	2	热气腾腾,热血沸腾
后……子	2	后半辈子,后生小子
北……谷	2	北郡山谷,北风裂谷
性……人	2	性情中人,性感女人
发……落	2	发白齿落,发蒙振落
横……出	2	横翔捷出,横见侧出
诗……侪	2	诗朋酒侪,诗酒朋侪
木……冠	2	木偶衣冠,木猴而冠
屎……流	2	屎屁直流,屎滚尿流
文……海	2	文山会海,文江学海
股……息	2	股市信息,股战胁息
一……还	2	一去不还,一旦珠还
文……济	2	文武兼济,文章经济
文……流	2	文化交流,文采风流
人……空	2	人去楼空,人财两空
人……穰	2	人烟浩穰,人稠物穰
楚……珍	2	楚凤称珍,楚璧隋珍
一……辞	2	一诺无辞,一言半辞
相……里	2	相为表里,相去万里
继……行	2	继其前行,继续履行
江……老	2	江东父老,江山不老
君……言	2	君子一言,君无戏言
分……为	2	分所应为,分辨率为
利……义	2	利不亏义,利己主义
万……春	2	万古长春,万象回春
反……道	2	反向信道,反经合道
转……去	2	转来转去,转过身去
焚……腕	2	焚日重腕,焚铁护腕
激……刻	2	激光雕刻,激情时刻
马……夫	2	马尔代夫,马洛尔夫
一……能	2	一专多能,一无所能
埃……尔	2	埃姆鲁尔,埃里戈尔
模……试	2	模块测试,模拟考试
单……码	2	单元编码,单向密码
利……亚	2	利比里亚,利莎瑞亚
重……道	2	重庆频道,重逆无道
文……成	2	文章生成,文贵天成
国……权	2	国家主权,国有产权
女……奖	2	女歌手奖,女演员奖
异……说	2	异端邪说,异闻传说
公……道	2	公公道道,公共频道
格……纳	2	格格不纳,格里施纳
大……门	2	大爵屠门,大祸临门
未……人	2	未亡之人,未成年人
盛……衰	2	盛不忘衰,盛必虑衰
刁……棍	2	刁健讼棍,刁民恶棍
厚……文	2	厚貌深文,厚重少文
中……物	2	中学生物,中心人物
高……步	2	高视阔步,高谈雅步
鬼……斧	2	鬼啸战斧,鬼工雷斧
满……然	2	满坐寂然,满目萧然
静……射	2	静电喷射,静脉注射
名……新	2	名优特新,名特优新
添……醋	2	添油加醋,添盐着醋
被……了	2	被忽略了,被抛弃了
谷……者	2	谷驭猫者,谷魔法者
潘……海	2	潘江陆海,潘陆江海
口……沫	2	口吐白沫,口角流沫
动……车	2	动力火车,动感单车
教……长	2	教学相长,教育部长
遥……应	2	遥呼相应,遥相呼应
霜……带	2	霜冻束带,霜火腰带
中……务	2	中介服务,中间业务
四……歌	2	四厢乐歌,四面楚歌
世……生	2	世世生生,世界卫生
罗……夫	2	罗敷有夫,罗斯托夫
昧……闻	2	昧昧无闻,昧死以闻
日……市	2	日中为市,日喀则市
得……毛	2	得其皮毛,得輶如毛
风……下	2	风前月下,风斯在下
血……靴	2	血铸马靴,血链战靴
三……量	2	三支比量,三角测量
除……乱	2	除患宁乱,除残去乱
一……舟	2	一叶扁舟,一月三舟
虎……势	2	虎狼之势,虎虎势势
风……丽	2	风姿冶丽,风景秀丽
包……网	2	包交换网,包围之网
言……直	2	言信行直,言讷词直
中……车	2	中高档车,中国汽车
广……海	2	广东南海,广西北海
通……灵	2	通幽洞灵,通真达灵
老……儿	2	老八板儿,老爷们儿
雷……锤	2	雷神之锤,雷霆战锤
离……远	2	离乡调远,离题太远
同……道	2	同志合道,同日而道
比……事	2	比类从事,比肩而事
石……业	2	石化企业,石油工业
水……行	2	水到鱼行,水宿山行
个……息	2	个中消息,个人信息
代……化	2	代数简化,代码优化
狂……铠	2	狂狼下铠,狂野肩铠
一……节	2	一年三节,一致之节
洛……布	2	洛克鲁布,洛欧塞布
切……恨	2	切骨之恨,切齿痛恨
絺……章	2	絺句绘章,絺藻雕章
资……债	2	资不抵债,资产负债
埃……德	2	埃斯沙德,埃格蒙德
翘……踵	2	翘领企踵,翘首跂踵
神……眼	2	神圣之眼,神眉鬼眼
故……深	2	故作高深,故剑情深
基……程	2	基本规程,基础教程
吃……儿	2	吃地面儿,吃瓦片儿
衆……疑	2	衆难羣疑,衆駴朋疑
美……地	2	美军基地,美食天地
一……获	2	一无所获,一树百获
黑……箱	2	黑暗宝箱,黑羽之箱
悄……声	2	悄无人声,悄然无声
蜂……集	2	蜂攒蚁集,蜂附云集
德……重	2	德薄任重,德望日重
特……业	2	特种行业,特色产业
塔……特	2	塔哈玛特,塔维斯特
不……听	2	不堪视听,不言之听
一……落	2	一字不落,一无下落
低……首	2	低头倾首,低眉下首
年……强	2	年富力强,年盛气强
面……土	2	面如灰土,面色如土
髀……生	2	髀肉复生,髀里肉生
相……章	2	相关文章,相得益章
人……然	2	人与自然,人迹杳然
大……遇	2	大智若遇,大被知遇
影……辑	2	影片剪辑,影视合辑
洁……行	2	洁言污行,洁身累行
大……逃	2	大劫难逃,大败而逃
虎……吞	2	虎咽狼吞,虎踞鲸吞
巨……力	2	巨灵神力,巨石之力
冒……失	2	冒冒失失,冒里冒失
相……间	2	相互之间,相得无间
持……定	2	持疑不定,持续稳定
朝……东	2	朝西暮东,朝阳区东
歌……德	2	歌功颂德,歌颂功德
学……体	2	学习主体,学术团体
才……高	2	才大气高,才清志高
举……目	2	举世瞩目,举首戴目
伤……累	2	伤痕累累,伤财受累
水……进	2	水泼不进,水陆并进
若……亡	2	若存若亡,若有所亡
打……笑	2	打情卖笑,打诨说笑
奥……多	2	奥利坎多,奥雷萨多
地……击	2	地雷冲击,地面震击
共……员	2	共产党员,共青团员
昼……行	2	昼伏夜行,昼夜兼行
连……璧	2	连城之璧,连珠合璧
塑……道	2	塑料管道,塑胶跑道
奥……姆	2	奥巴格姆,奥格瑞姆
明……达	2	明尚夙达,明尼苏达
美……儿	2	美人灯儿,美术片儿
神……乱	2	神昏意乱,神经错乱
极……化	2	极头麻化,极性转化
美……光	2	美女走光,美好时光
虔……环	2	虔敬指环,虔诚光环
横……子	2	横河划子,横行公子
连……曙	2	连宵彻曙,连昏达曙
两……题	2	两大主题,两性话题
独……断	2	独行独断,独裁专断
雾……愁	2	雾惨云愁,雾结烟愁
连……放	2	连接释放,连续播放
林……韵	2	林下风韵,林籁泉韵
中……用	2	中国民用,中水回用
中……田	2	中低产田,中原油田
法……丁	2	法奥斯丁,法莫替丁
狂……道	2	狂为乱道,狂悖无道
维……亚	2	维多利亚,维斯提亚
多……机	2	多处理机,多计算机
洛……子	2	洛萨之子,洛阳才子
断……续	2	断弦再续,断断续续
吐……胆	2	吐心吐胆,吐肝露胆
囊……物	2	囊槖中物,囊无一物
后……务	2	后勤服务,后台任务
二……品	2	二十四品,二手物品
随……来	2	随之而来,随手拈来
法……件	2	法定条件,法律文件
十……王	2	十代冥王,十殿阎王
批……鳞	2	批其逆鳞,批逆龙鳞
风……照	2	风月清照,风行电照
誓……日	2	誓以皦日,誓天指日
破……铠	2	破冰肩铠,破空轻铠
带……山	2	带河厉山,带砺河山
秦……盟	2	秦晋之盟,秦约晋盟
连……市	2	连云港市,连锁超市
烟……散	2	烟飞星散,烟霏雨散
咭……哝	2	咭咭哝哝,咭哩咕哝
犯……子	2	犯牛脖子,犯罪分子
瓦……湖	2	瓦尔登湖,瓦罗温湖
男……装	2	男士服装,男扮女装
半……信	2	半信不信,半疑半信
持……天	2	持管窥天,持表度天
鸟……巢	2	鸟焚其巢,鸟覆危巢
还……本	2	还元返本,还原反本
断……置	2	断然处置,断路位置
生……道	2	生命通道,生活频道
负……愿	2	负心违愿,负鼎之愿
三……行	2	三十六行,三人同行
怒……指	2	怒焰戒指,怒目戟指
连……子	2	连续算子,连鬓胡子
疾……电	2	疾如雷电,疾雷迅电
补……漏	2	补苴罅漏,补罅葺漏
前……灭	2	前功尽灭,前波未灭
古……格	2	古典风格,古雷曼格
傍……户	2	傍人门户,傍门依户
小……闹	2	小打小闹,小玩儿闹
权……重	2	权尊势重,权衡轻重
金……构	2	金属结构,金融机构
孤……句	2	孤文断句,孤经绝句
汉……解	2	汉化破解,汉语理解
衆……一	2	衆口如一,衆多非一
斯……姆	2	斯拉格姆,斯克拉姆
招……告	2	招标公告,招聘广告
写……线	2	写数据线,写选择线
埃……斯	2	埃苏罗斯,埃辛诺斯
缓……行	2	缓步徐行,缓辔而行
虚……心	2	虚气平心,虚空之心
并……事	2	并无此事,并非易事
如……止	2	如丘而止,如何防止
文……密	2	文件加密,文深网密
云……立	2	云垂海立,云屯森立
时……数	2	时变参数,时间常数
文……家	2	文字学家,文献之家
畏……缩	2	畏畏缩缩,畏葸退缩
不……载	2	不可胜载,不能下载
和……处	2	和平共处,和睦相处
简……文	2	简体中文,简节繁文
自……勇	2	自告奋勇,自矜其勇
世……人	2	世海他人,世界华人
穆……克	2	穆巴拉克,穆维里克
奥……斯	2	奥奈罗斯,奥里克斯
不……过	2	不能超过,不曾序过
平……人	2	平易近人,平等待人
山……委	2	山东省委,山积波委
夜……寐	2	夜不成寐,夜而忘寐
甩……子	2	甩开膀子,甩笔头子
白……靴	2	白兔皮靴,白鳄长靴
阴……错	2	阴差阳错,阴阳交错
有……情	2	有声有情,有理无情
言……中	2	言不由中,言必有中
缠……脑	2	缠丝马脑,缠头裹脑
十……传	2	十世单传,十口相传
風……飛	2	風激電飛,風起雲飛
四……叉	2	四仰八叉,四脚拉叉
尽……国	2	尽忠报国,尽瘁事国
电……物	2	电子刊物,电视购物
人……会	2	人民大会,人类社会
身……行	2	身体力行,身无择行
网……院	2	网上医院,网络学院
公……行	2	公会银行,公开发行
复……辟	2	复子明辟,复政厥辟
天……辟	2	天地开辟,天开地辟
抗……性	2	抗冲击性,抗氧化性
排……程	2	排水工程,排队进程
首……济	2	首尾共济,首都经济
马……克	2	马提尼克,马斯托克
错……机	2	错失良机,错过时机
投……散	2	投置闲散,投闲置散
埋……柱	2	埋杆竖柱,埋轮破柱
人……人	2	人无完人,人面上人
马……鞍	2	马不解鞍,马援据鞍
不……败	2	不分胜败,不战自败
人……亡	2	人之云亡,人员伤亡
不……负	2	不分胜负,不堪重负
言……低	2	言语高低,言高语低
公……人	2	公司法人,公诸世人
得……助	2	得江山助,得道多助
山……学	2	山林文学,山路小学
十……下	2	十年窗下,十行俱下
言……传	2	言归正传,言教身传
十……一	2	十分之一,十里挑一
无……能	2	无所不能,无线智能
自……线	2	自动布线,自由曲线
不……赖	2	不可抵赖,不管好赖
移……体	2	移动主体,移气养体
以……鱼	2	以筌为鱼,以蚓投鱼
七……诗	2	七步成诗,七言律诗
笔……春	2	笔下生春,笔力回春
月……殿	2	月亮圣殿,月泉神殿
交……关	2	交交关关,交叉开关
三……诗	2	三笔六诗,三舍人诗
七……语	2	七字成语,七言八语
防……萌	2	防患未萌,防芽遏萌
年……暮	2	年华垂暮,年衰岁暮
兵……速	2	兵贵神速,兵闻拙速
关……算	2	关系演算,关键计算
公……义	2	公平正义,公理语义
当……人	2	当世名人,当面是人
三……计	2	三十六计,三维设计
十……人	2	十二金人,十全老人
稽……拜	2	稽颡膜拜,稽首再拜
兵……道	2	兵行诡道,兵革满道
门……薄	2	门单户薄,门衰祚薄
立……门	2	立木南门,立雪程门
埃……松	2	埃基尔松,埃里克松
文……备	2	文修武备,文武兼备
中……会	2	中国社会,中秋晚会
風……下	2	風前月下,風斯在下
风……火	2	风风火火,风高放火
万……策	2	万世长策,万全之策
家……女	2	家庭妇女,家有儿女
进……态	2	进攻姿态,进程状态
神……知	2	神人鉴知,神鬼不知
受……惊	2	受宠若惊,受怕担惊
寡……男	2	寡女孤男,寡妇鳏男
扶……弱	2	扶倾济弱,扶老携弱
行……夷	2	行比伯夷,行若由夷
小……里	2	小旅馆里,小木屋里
美……校	2	美发学校,美术院校
珠……饰	2	珠光头饰,珠宝首饰
工……册	2	工作手册,工商注册
飞……风	2	飞龙披风,飞走如风
红……会	2	红十字会,红新月会
火……靴	2	火岩轻靴,火苔长靴
专……人	2	专利权人,专门利人
中……世	2	中国入世,中天之世
投……报	2	投桃之报,投资回报
图……索	2	图像检索,图片搜索
献……否	2	献可替否,献替可否
流……业	2	流水作业,流通企业
村……妇	2	村哥里妇,村姑田妇
免……人	2	免解举人,免费成人
骨……寒	2	骨肉未寒,骨重神寒
日……理	2	日常管理,日本料理
礼……坏	2	礼乐崩坏,礼崩乐坏
不……计	2	不事生计,不可胜计
刿……肾	2	刿心鉥肾,刿鉥肝肾
专……业	2	专业毕业,专科专业
生……间	2	生产车间,生活空间
坚……志	2	坚定意志,坚心守志
战……怒	2	战士之怒,战斗狂怒
立……道	2	立身行道,立雪求道
交……场	2	交变电场,交易市场
不……词	2	不赞一词,不定冠词
不……识	2	不学无识,不知不识
不……诛	2	不教而诛,不测之诛
信……行	2	信受奉行,信步而行
凿……书	2	凿柱取书,凿楹纳书
如……水	2	如人饮水,如石投水
不……行	2	不辞而行,不止不行
深……人	2	深海巨人,深痕雪人
神……甲	2	神圣破甲,神威战甲
不……门	2	不二法门,不讳之门
枝……茂	2	枝叶硕茂,枝繁叶茂
随……影	2	随声吠影,随帮唱影
二……法	2	二会子法,二元语法
山……应	2	山崩钟应,山鸣谷应
见……面	2	见信如面,见过世面
持……恒	2	持之以恒,持法有恒
红……口	2	红外接口,红晕冲口
自……笔	2	自动铅笔,自来水笔
历……久	2	历史悠久,历日旷久
松……人	2	松菊主人,松雪道人
斗……士	2	斗方名士,斗酒学士
小……了	2	小事化了,小时了了
桂……香	2	桂子飘香,桂馥兰香
幽……爪	2	幽冥利爪,幽魂熊爪
重……好	2	重修旧好,重归于好
绝……行	2	绝密飞行,绝德至行
熔……锤	2	熔岩石锤,熔渣战锤
无……蒂	2	无了根蒂,无根无蒂
占……地	2	占用耕地,占领墓地
垂……载	2	垂橐稛载,垂芳千载
里……外	2	里三层外,里里外外
二……子	2	二三君子,二不溜子
用……数	2	用字记数,用珠计数
携……女	2	携儿带女,携男挈女
格……恩	2	格斯塔恩,格雷迈恩
规……计	2	规划设计,规模估计
战……手	2	战歌护手,战胜对手
骑……堕	2	骑者善堕,骑驴倒堕
不……要	2	不关紧要,不忘久要
轻……气	2	轻死重气,轻身下气
不……解	2	不惑不解,不求甚解
新……发	2	新华社发,新硎初发
过……将	2	过关斩将,过程中将
七……代	2	七十年代,七窝八代
不……见	2	不可预见,不少概见
夜……带	2	夜色头带,夜风腰带
插……序	2	插入排序,插补程序
意……疏	2	意广才疏,意懒情疏
乘……肥	2	乘坚策肥,乘轻驱肥
王……车	2	王叟辕车,王青盖车
无……说	2	无知妄说,无话可说
金……甲	2	金鳞胸甲,金戈铁甲
以……面	2	以泪洗面,以点带面
土……狗	2	土鸡瓦狗,土龙刍狗
走……路	2	走回头路,走下坡路
風……思	2	風情月思,風木之思
风……学	2	风云文学,风湿病学
遵……晦	2	遵养时晦,遵时养晦
合……料	2	合成染料,合金材料
扶……危	2	扶困济危,扶颠持危
文……制	2	文件控制,文档编制
须……白	2	须发皆白,须眉交白
自……生	2	自主招生,自力更生
管……测	2	管窥蠡测,管蠡窥测
精……儿	2	精气神儿,精神头儿
少……语	2	少儿英语,少言寡语
相……事	2	相安无事,相机行事
经……息	2	经久不息,经济信息
连……制	2	连接机制,连续控制
名……画	2	名人字画,名家书画
至……友	2	至交契友,至亲好友
窃……权	2	窃势拥权,窃弄威权
度……大	2	度量宏大,度长絜大
国……国	2	国中之国,国将不国
冯……鱼	2	冯子无鱼,冯谖有鱼
高……子	2	高阳公子,高粱帽子
国……园	2	国家公园,国际花园
坚……印	2	坚定之印,坚韧圣印
分……网	2	分布式网,分槽环网
交……学	2	交叉科学,交通大学
金……管	2	金属软管,金融监管
马……龙	2	马如游龙,马水车龙
裂……斧	2	裂口战斧,裂地长斧
性……火	2	性如烈火,性烈如火
国……器	2	国家机器,国美电器
特……码	2	特征编码,特效代码
神……舞	2	神圣乱舞,神飞色舞
负……才	2	负地矜才,负薪之才
得……寸	2	得寸则寸,得尺得寸
惩……环	2	惩戒指环,惩罚光环
蛮……理	2	蛮不讲理,蛮横无理
身……物	2	身外之物,身无长物
显……物	2	显花植物,显赫人物
与……息	2	与时消息,与民休息
无……解	2	无以自解,无损分解
楚……云	2	楚岫秦云,楚雨巫云
匪……夕	2	匪伊朝夕,匪朝伊夕
佛……子	2	佛心天子,佛门弟子
溢……辞	2	溢于文辞,溢美之辞
文……工	2	文明施工,文章宗工
输……率	2	输入速率,输出功率
四……安	2	四季平安,四邻不安
竭……力	2	竭智尽力,竭精殚力
东……上	2	东曦既上,东流西上
过……物	2	过冬作物,过氧化物
生……骨	2	生死肉骨,生肉枯骨
冷……眼	2	冷眉冷眼,冷蜥蜴眼
属……行	2	属当戎行,属托不行
欢……家	2	欢喜冤家,欢迎大家
梦……生	2	梦笔花生,梦随心生
罪……赦	2	罪不容赦,罪在不赦
兵……颈	2	兵在其颈,兵已在颈
米……特	2	米尔科特,米拉吉特
开……行	2	开发银行,开始实行
杜……斯	2	杜姆鲁斯,杜里奥斯
不……务	2	不急之务,不谙事务
胆……鼠	2	胆小如鼠,胆若鼷鼠
鸡……舞	2	鸡鸣起舞,鸡鹜翔舞
高……云	2	高义薄云,高遏行云
特……票	2	特价机票,特种邮票
投……器	2	投掷武器,投鼠忌器
代……承	2	代代相承,代位继承
性……片	2	性感照片,性教育片
土……记	2	土地登记,土灵印记
顺……天	2	顺人应天,顺口谈天
声……通	2	声入心通,声气相通
群……击	2	群体打击,群起攻击
税……理	2	税务代理,税收管理
全……装	2	全副武装,全新原装
干……脆	2	干巴利脆,干干脆脆
龙……空	2	龙的天空,龙马行空
狐……悲	2	狐兔之悲,狐死兔悲
山……味	2	山海之味,山珍海味
交……序	2	交换排序,交通秩序
无……述	2	无善可述,无庸赘述
命……侣	2	命俦啸侣,命啸俦侣
麟……毛	2	麟凤一毛,麟角凤毛
广……子	2	广寒仙子,广末凉子
云……眼	2	云心鹤眼,云烟过眼
日……常	2	日以为常,日本入常
不……苦	2	不知甘苦,不胜其苦
行……关	2	行政机关,行程开关
石……环	2	石墨指环,石楠之环
矜……能	2	矜功伐能,矜智负能
高……性	2	高可靠性,高成长性
風……摇	2	風舉雲摇,風雨飄摇
磨……厉	2	磨砥刻厉,磨砻底厉
经……文	2	经武纬文,经济论文
人……入	2	人均收入,人工录入
不……药	2	不可救药,不龟手药
傲……物	2	傲世轻物,傲睨万物
鋥……亮	2	鋥光瓦亮,鋥明彻亮
顶……名	2	顶替冒名,顶级域名
暗……刀	2	暗影镰刀,暗钢飞刀
青……袂	2	青裙缟袂,青门解袂
试……法	2	试行办法,试验方法
坐……毡	2	坐卧针毡,坐客无毡
国……制	2	国企改制,国际公制
虚……袍	2	虚灵长袍,虚空法袍
飘……定	2	飘忽不定,飘泊无定
乌……布	2	乌云密布,乌兰察布
无……踪	2	无影无踪,无法追踪
高……德	2	高世之德,高才大德
间……理	2	间接推理,间隙定理
强……食	2	强兵足食,强饮强食
身……明	2	身份证明,身分不明
佛……心	2	佛性禅心,佛眼佛心
不……耳	2	不堪入耳,不绝于耳
编……言	2	编程语言,编造谎言
基……作	2	基层工作,基本操作
不……老	2	不二之老,不憖一老
分……码	2	分形编码,分组密码
暗……肩	2	暗纹护肩,暗翼衬肩
因……胜	2	因敌制胜,因机立胜
行……号	2	行动代号,行政区号
耳……风	2	耳后生风,耳边之风
大……盾	2	大地之盾,大相矛盾
奎……斯	2	奎尔林斯,奎恩提斯
毛……雨	2	毛毛细雨,毛风血雨
临……制	2	临朝称制,临界控制
家……金	2	家具五金,家累千金
困……学	2	困勉下学,困而不学
悬……石	2	悬崖转石,悬驼就石
无……责	2	无以塞责,无可指责
下……明	2	下落不明,下载说明
風……晦	2	風瀟雨晦,風雨如晦
繁……节	2	繁枝细节,繁音促节
